,Made from,Country of origin,Region,Type,Family,Fat content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers
Abbaye de Belloc,unpasteurized sheep's milk,France,Pays Basque,"semi-hard, artisan",,,"creamy, dense and firm",natural,yellow,burnt caramel,lanoline,yes ,
Abbaye de Belval,cow's milk,France,,semi-hard,,40-46%,elastic,washed,ivory,,aromatic, no ,
Abbaye de Citeaux,unpasteurized cow's milk,France,Burgundy,"semi-soft, artisan, brined",,,"creamy, dense and smooth",washed,white,"acidic, milky, smooth","barnyardy, earthy", no ,
Abbaye de Tamie,unpasteurized cow's milk,France,Savoie,"soft, artisan",,,"creamy, open and smooth",washed,white,"fruity, nutty","lactic, perfumed, pungent", no ,
Abbaye de Timadeuc,pasteurized cow's milk,France, province of Brittany,semi-hard,,,soft,washed,pale yellow,,, no ,Abbaye Cistercienne  NOTRE-DAME DE TIMADEUC
Abbaye du Mont des Cats,pasteurized cow's milk,France,Nord-Pas-de-Calais,"semi-soft, artisan, brined",,50%,smooth and supple,washed,pale yellow,"milky, salty",floral, no ,Abbaye du Mont des Cats 
Abbot's Gold,pasteurized cow's milk,"England, Great Britain and United Kingdom",North Yorkshire,semi-hard,Cheddar,,"creamy, crumbly, dense and semi firm",natural,pale yellow,"mild, sweet, tangy",aromatic,yes ,Wensleydale Creamery
Abertam,sheep's milk,Czech Republic,Karlovy Vary,"hard, artisan",,45%,firm,natural,pale yellow,"acidic, strong, tangy",, no ,
Abondance,unpasteurized cow's milk,France,"Haute-Savoie, Abondance","semi-hard, artisan",Tomme,48%,"creamy, open and supple",natural,pale yellow,"acidic, buttery, fruity, sweet",nutty, no ,
Acapella,goat's milk,United States,California ,"soft, soft-ripened",,,,,,buttery,"fresh, herbal", no ,
Accasciato ,buffalo's and cow's milk,Italy,Campania,semi-hard,,,firm,natural,pale yellow,sweet,"aromatic, fresh", no ,Casa Madaio
Ackawi,"pasteurized cow's, goat's or sheep's milk","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East and Syria",Aker ,"soft, brined",Feta,,"elastic, smooth and springy",natural,white,"mild, milky, salty","mild, milky", no ,Various
Acorn,unpasteurized sheep's milk,United Kingdom,Bethania,"hard, artisan",,52%,crumbly and firm,,,"burnt caramel, citrusy, herbaceous",fruity,yes ,
Adelost,pasteurized cow's milk,Sweden,,"semi-soft, blue-veined",Blue,50%,creamy,natural,blue,"salty, sharp, tangy",strong,,
ADL Brick Cheese,pasteurized cow's milk,Canada,Prince Edward Island,semi-soft,Cheddar,12%,"elastic, firm, open and soft",rindless,ivory,"buttery, mild, milky, subtle","buttery, sweet",,ADL - Amalgamated Dairies Limited
ADL Mild Cheddar,pasteurized cow's milk,Canada,Prince Edward Island,semi-hard,Cheddar,14%,firm and springy,rindless,yellow,"acidic, buttery, milky, subtle",,,ADL - Amalgamated Dairies Limited
Affidelice au Chablis,pasteurized cow's milk,France,Burgundy,soft,,55%,creamy and smooth,washed,orange,"fruity, mild, tangy","perfumed, strong", no ,Fromagerie Berthaut
Affineur Walo Rotwein Sennechas,unpasteurized cow's milk,Switzerland,Bern,"hard, artisan",Swiss Cheese,59%,smooth,washed,cream,"creamy, pronounced, spicy, sweet","pungent, rich, strong", no ,Affineur Walo of Mühlenen
Afuega'l Pitu,pasteurized or unpasteurized cow's milk,Spain,Asturias,"soft, artisan",,45%,smooth,cloth wrapped,red,"spicy, strong",, no ,
Aged British Cheddar,unpasteurized cow's milk,United States,NY,"hard, artisan",Cheddar,,"crumbly, crystalline and flaky",natural,pale yellow,sharp,smokey,,Muranda Cheese Company
Aged Cashew & Blue Green Algae Cheese,,United States,Brooklyn NY,"firm, artisan",,,firm and spreadable,,blue,"creamy, mellow, oceanic, tangy",rich,yes ,Dr. Cow Tree Nut Cheese
Aged Cashew & Brazil Nut Cheese,,United States,Brooklyn NY,"firm, artisan",,,firm and spreadable,,brown,"creamy, nutty, sweet","nutty, rich",yes ,Dr. Cow Tree Nut Cheese
Aged Cashew & Dulse Cheese,,United States,Brooklyn NY,"firm, artisan",,,firm and spreadable,,brown,"creamy, oceanic",rich,yes ,Dr. Cow Tree Nut Cheese
Aged Cashew & Hemp Seed Cheese,,United States,Brooklyn NY,"firm, artisan",,,firm and spreadable,,brown,"creamy, mild, nutty, spicy","nutty, rich",yes ,Dr. Cow Tree Nut Cheese
Aged Cashew Nut Cheese,,United States,Brooklyn NY,"firm, artisan",,,firm and spreadable,,golden yellow,"creamy, nutty, subtle","clean, fresh, nutty",yes ,Dr. Cow Tree Nut Cheese
Aged Cashew Nut & Kale Cheese,,United States,Brooklyn NY,"firm, artisan",,,firm and spreadable,,green,"creamy, oceanic, tangy",rich,yes ,Dr. Cow Tree Nut Cheese
Aged Chelsea,pasteurized goat's milk,United States,"Ann Arbor, Michigan",soft,,,creamy and spreadable,mold ripened ,ivory,"acidic, buttery, sweet",goaty, no ,Zingermans.com LLC
Aged Gouda,"pasteurized or unpasteurized cow's, goat's or sheep's milk",Netherlands,"South Holland, Gouda","hard, artisan, brined, processed",Gouda,31 g/100g,"brittle, crumbly, crystalline and flaky",waxed,yellow,"burnt caramel, full-flavored","rich, ripe", no ,
Aggiano,pasteurized cow's milk,United States,Utah,"hard, artisan",,,creamy and dry,,cream,"butterscotch, tangy",fruity,yes ,Beehive Cheese Company
Ailsa Craig,pasteurized goat's milk,Scotland and United Kingdom,Stewarton,"semi-soft, artisan",,,creamy and fluffy,rindless,white,creamy,goaty,yes ,Dunlop Dairy
Airag,mare's milk,Mongolia and Turkey,,"soft, artisan",,,creamy,rindless,,sour,, no ,
Airedale,pasteurized cow's milk,New Zealand,Airedale farming district,"semi-soft, artisan",,,smooth,waxed,pale yellow,"full-flavored, milky, salty, tangy","grassy, strong",yes ,Whitestone Cheese
Aisy Cendre,pasteurized cow's milk,France,Burgundy,"semi-soft, smear-ripened",,50%,creamy and smooth,washed,white,"full-flavored, herbaceous, salty, smokey ","earthy, nutty, smokey", no ,
Allgauer Emmentaler,unpasteurized cow's milk,Germany,Swabia,hard,,45%,firm,natural,yellow,nutty,pungent, no ,
Allium Piper,pasteurized goat's milk,Australia,South Australia,"fresh soft, artisan",,45%,creamy and soft,,white,"garlicky, spicy","fresh, garlicky, spicy",yes ,Woodside Cheese Wrights
Alma Vorarlberger Alpkase (3-5 months),unpasteurized cow's milk,Austria,Vorarlberg,"hard, artisan",,34%,firm,natural,yellow,"mild, spicy","mild, spicy", no ,Rupp AG
Alma Vorarlberger Alpkase (6-9 months),unpasteurized cow's milk,Austria,Vorarlberg,"hard, artisan",,34%,firm,natural,yellow,"spicy, strong","spicy, strong", no ,Rupp AG
Alma Vorarlberger Bergkase (10 months),unpasteurized cow's milk,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal ","hard, artisan",,34%,"brittle, firm, flaky and open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong", no ,Rupp AG
Alma Vorarlberger Bergkase (12 months),unpasteurized cow's milk,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal","hard, artisan",,34%,"brittle, firm, flaky and open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong", no ,Rupp AG
Alma Vorarlberger Bergkase (6 months),unpasteurized cow's milk,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal ","hard, artisan",,34%,"firm, open and supple",natural,cream,"piquant, spicy, tangy",aromatic, no ,Rupp AG
Almnas Tegel,unpasteurized cow's milk,Sweden,Västra Götaland,"hard, smear-ripened",,,open and smooth,washed,straw,"caramel, fruity, nutty","fruity, sweet", no ,Almnäs Bruk
Alpe di Frabosa,cow's milk,Italy,,semi-soft,,,,,,bitter,"milky, mushroom", no ,
Alpha Tolman,unpasteurized cow's milk,United States,"Greensboro, VT ","semi-hard, artisan",Swiss Cheese,,"dense, elastic and smooth",washed,yellow,"buttery, caramel, fruity, full-flavored, nutty","fruity, nutty",,Jasper Hill Farm
Alpicreme,goat's milk,France,,soft,,,,,,,, no ,
